date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-21,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-22,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-23,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-24,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-25,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-26,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-27,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-28,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-29,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-30,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2020-12-31,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-01,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-02,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-03,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-04,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-05,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-06,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-07,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-08,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-09,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-10,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-11,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-12,AA,21,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-13,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-14,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-15,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-16,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-17,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-18,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-19,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-20,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-21,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-22,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
