ID,Jahr,Betriebsteile,Vollbeschaeftigte,Lohnsumme_Mio,Anerkannte_Faelle,Faelle_Taggeld,Schwere_Unfaelle,Schwerste_Unfaelle,Invalidenrenten_UE,Invalidenrenten_80_UE,Todesfaelle_UE,Berufskrankheiten_BK,Invalidenrenten_BK,Todesfaelle_BK,Entschaedigte_Tage
1,2012,15937,22194,987,3241,1375,159,33,2,0,2,24,0,0,61318
1,2013,16381,22264,1024,3218,1427,135,19,3,0,1,19,0,0,60674
1,2014,16438,22778,1049,3132,1317,163,31,4,2,4,12,1,0,62669
1,2015,16694,22802,1058,3209,1367,167,28,5,3,4,13,0,0,62446
1,2016,16574,23426,1079,3118,1434,168,29,5,2,3,8,0,0,67011
1,2017,16748,23028,1084,3192,1421,162,22,4,0,0,14,0,1,65775
1,2018,16791,25027,1116,3209,1504,194,26,2,0,1,25,0,0,70676
1,2019,16888,25976,1161,3287,1525,166,23,3,0,2,12,0,0,65113
1,2020,16824,27103,1202,3062,1486,178,31,3,1,0,16,0,0,72486
1,2021,16835,27347,1252,3021,1421,198,21,2,0,0,26,0,0,68243
2,2012,1428,4621,315,1111,436,47,11,4,0,4,9,0,0,20338
2,2013,1378,4441,313,1158,518,62,6,4,0,1,10,0,0,23990
2,2014,1370,4746,316,1177,484,63,17,3,0,1,8,0,0,23930
2,2015,1364,4996,321,1098,453,58,10,4,0,1,6,0,0,24540
2,2016,1360,4767,325,1099,472,59,7,3,1,1,23,0,0,24338
2,2017,1349,4876,334,1146,504,65,7,4,0,1,18,0,0,24305
2,2018,1364,5350,345,1221,515,55,13,7,2,3,17,0,0,22377
2,2019,1372,5382,353,1202,542,63,11,2,0,3,27,0,0,22498
2,2020,1373,5494,363,1201,527,56,14,2,0,3,19,0,0,23803
2,2021,1387,5712,369,1198,517,72,12,2,0,3,23,0,0,24471
3,2012,103,287,14,22,7,0,0,0,0,0,0,0,0,111
3,2013,95,274,14,21,8,0,0,0,0,0,0,0,0,111
3,2014,93,295,15,28,8,1,0,0,0,0,1,0,0,654
3,2015,85,322,16,27,16,1,0,0,0,0,1,0,0,460
3,2016,92,357,18,25,7,1,0,0,0,0,0,0,0,348
3,2017,91,367,19,24,13,1,0,0,0,0,0,0,0,283
3,2018,98,414,21,28,5,0,0,0,0,0,0,0,0,215
3,2019,95,408,21,30,15,2,0,0,0,0,0,0,0,482
3,2020,96,425,21,29,11,2,0,0,0,0,0,0,0,502
3,2021,92,439,23,24,13,3,0,0,0,0,0,0,0,667
8,2012,251,4427,336,628,284,25,8,4,0,1,13,0,0,13603
8,2013,256,4548,342,578,274,33,7,4,0,0,15,2,1,14373
8,2014,255,4500,343,554,256,38,7,4,0,1,7,1,0,15440
8,2015,253,4416,337,618,269,38,14,7,0,2,30,1,0,16259
8,2016,252,4449,342,516,232,36,12,6,1,3,20,1,1,13949
8,2017,250,4366,341,564,239,32,6,8,0,1,20,1,2,11034
8,2018,247,4334,339,501,228,25,3,1,0,0,12,0,3,11657
8,2019,250,4316,338,475,243,24,7,1,0,1,14,1,2,10463
8,2020,250,4243,333,466,218,28,5,2,0,0,15,1,1,9879
8,2021,240,4242,329,474,250,15,3,3,1,0,19,0,0,9733
9,2012,5,108,8,5,5,0,0,1,0,0,0,0,0,292
9,2013,8,106,9,2,1,0,0,0,0,0,0,0,0,6
9,2014,8,107,9,10,6,1,0,0,0,0,0,0,0,374
9,2015,8,107,9,11,7,0,1,0,0,0,0,0,0,436
9,2016,8,97,9,4,3,1,0,0,0,0,0,0,0,508
9,2017,8,98,8,4,3,0,0,0,0,0,1,0,0,58
9,2018,8,121,10,5,5,0,0,0,0,0,0,0,0,86
9,2019,7,121,9,6,2,1,0,1,0,0,0,0,0,298
9,2020,7,125,10,4,1,0,0,0,0,0,0,0,0,32
9,2021,7,135,10,7,4,0,0,0,0,0,0,0,0,98
10,2012,2610,64725,4021,4931,2545,213,50,12,1,1,89,5,0,100906
10,2013,2730,66618,4141,4999,2602,201,43,18,1,1,63,1,2,97275
10,2014,2880,68554,4267,5178,2773,199,34,14,2,0,73,1,0,100467
10,2015,2985,69055,4365,4986,2577,226,37,10,0,1,61,0,0,101794
10,2016,3083,72843,4572,5049,2683,208,42,13,2,2,81,1,0,101385
10,2017,3241,73646,4672,5342,2756,226,35,11,0,0,99,1,3,108354
10,2018,3338,74123,4737,5186,2780,228,44,14,1,0,79,3,0,105816
10,2019,3378,73614,4758,5357,2887,268,38,10,0,0,76,1,0,114312
10,2020,3383,73736,4768,4768,2704,248,43,10,0,2,81,0,0,111114
10,2021,3459,73573,4788,4888,2725,240,48,9,0,0,70,2,1,110677
11,2012,346,6331,431,468,206,28,4,5,0,0,2,0,1,9043
11,2013,359,6289,438,430,182,14,8,2,1,0,5,0,0,8841
11,2014,381,6623,454,455,204,28,4,0,0,1,3,0,0,10194
11,2015,407,7312,493,525,217,18,5,2,0,0,6,0,0,9840
11,2016,422,7505,494,487,198,12,2,0,0,0,1,0,1,7417
11,2017,450,7105,487,445,181,29,1,1,0,0,4,0,0,7539
11,2018,480,7003,492,449,191,26,7,2,0,0,6,0,0,9669
11,2019,499,6994,501,471,215,22,4,0,0,0,1,0,0,8955
11,2020,528,7021,493,396,158,24,5,1,0,0,4,0,0,10114
11,2021,561,6575,478,350,170,13,4,0,0,0,4,0,0,8082
12,2012,12,3188,221,69,22,6,1,1,0,0,2,0,0,2302
12,2013,11,2744,219,47,22,3,2,0,0,1,1,0,0,2037
12,2014,12,2998,214,33,11,3,1,0,0,0,2,0,0,1432
12,2015,16,4383,349,53,12,2,0,0,0,0,2,0,0,1384
12,2016,15,4805,395,47,22,5,1,0,0,0,1,0,0,1788
12,2017,17,5325,379,51,19,7,0,0,0,0,1,0,0,2499
12,2018,17,6183,442,52,16,4,1,0,0,0,2,0,1,1556
12,2019,19,5110,453,61,21,4,3,0,0,0,1,0,0,2712
12,2020,18,7023,523,31,12,0,0,2,0,0,3,0,0,1003
12,2021,18,5418,490,30,8,2,0,1,0,0,1,0,0,789
13,2012,492,7212,454,443,197,15,1,1,0,0,18,0,0,6944
13,2013,487,6817,442,355,155,17,7,2,0,0,11,1,0,7400
13,2014,476,6987,440,380,161,16,2,1,0,0,13,2,1,6504
13,2015,487,6735,427,352,163,17,4,0,0,0,16,0,0,7390
13,2016,495,6636,418,346,146,17,3,1,0,0,20,0,1,6747
13,2017,482,6539,423,332,159,14,2,1,0,0,21,0,2,5737
13,2018,475,6269,422,346,148,22,1,2,0,0,16,1,0,6598
13,2019,472,6173,416,305,141,17,5,0,0,0,12,0,1,7250
13,2020,465,6416,418,286,134,19,3,1,0,0,3,0,1,7558
13,2021,466,6198,399,280,130,11,4,2,1,0,3,0,0,6654
14,2012,581,4049,204,109,51,5,1,0,0,0,0,0,0,2713
14,2013,594,4398,205,85,47,9,1,2,0,0,1,0,0,1980
14,2014,611,4287,216,132,63,4,0,0,0,0,0,0,0,1695
14,2015,612,4340,213,125,63,9,1,0,0,0,0,0,0,2794
14,2016,633,3968,208,86,40,0,1,1,0,0,1,0,0,1210
14,2017,638,3814,196,86,49,2,0,1,0,0,1,0,0,1210
14,2018,627,3589,192,108,48,4,0,0,0,0,0,0,0,1791
14,2019,636,3719,195,110,58,4,0,0,0,0,0,0,0,1726
14,2020,627,4434,251,94,42,3,1,0,0,0,0,0,0,1532
14,2021,616,5259,251,93,38,4,0,0,0,0,0,0,0,1369
15,2012,166,1279,88,59,30,5,0,0,0,0,2,0,0,1984
15,2013,167,1223,85,64,27,2,2,0,0,0,3,0,0,1535
15,2014,170,1305,92,75,31,3,2,0,0,0,4,0,0,2416
15,2015,175,1320,93,64,27,2,1,0,0,0,3,4,0,4226
15,2016,176,1314,94,67,25,0,0,0,0,0,0,1,0,1189
15,2017,168,1367,98,70,24,2,0,0,0,0,1,1,0,1120
15,2018,168,1473,107,73,27,0,1,0,0,0,1,0,0,1106
15,2019,170,1501,111,89,38,4,0,0,0,0,2,0,0,1778
15,2020,176,1620,121,83,30,2,0,0,0,0,2,0,0,1362
15,2021,178,1883,140,54,31,3,0,0,0,0,3,0,0,1735
16,2012,4891,34292,2119,5991,2343,181,45,21,0,2,100,0,8,95907
16,2013,4856,34065,2142,5651,2294,207,52,20,3,4,108,3,23,99015
16,2014,4893,34737,2180,5672,2322,200,54,26,0,3,111,3,21,105175
16,2015,4888,34796,2180,5582,2231,225,38,19,1,4,103,0,13,100859
16,2016,4874,35296,2211,5247,2198,210,52,22,4,1,150,3,25,101951
16,2017,4898,35010,2234,5365,2246,228,46,20,0,3,187,1,11,102911
16,2018,4930,35773,2260,5498,2309,198,38,18,0,1,173,3,21,98880
16,2019,4930,35585,2287,5229,2313,227,41,14,0,2,178,4,15,99032
16,2020,4929,35634,2302,4816,2174,213,47,17,0,0,210,2,26,97984
16,2021,4940,36717,2362,5046,2203,207,35,10,0,1,198,3,28,94905
17,2012,188,10042,684,709,345,41,7,5,0,0,8,0,0,17524
17,2013,187,9524,656,568,276,26,8,5,0,0,14,0,0,14713
17,2014,188,9255,641,517,251,26,5,9,2,0,15,1,0,13273
17,2015,183,9171,621,588,306,36,2,3,1,0,14,0,0,12370
17,2016,178,8754,604,533,279,39,11,2,0,0,13,0,0,14868
17,2017,180,8546,591,519,276,23,9,5,0,0,12,0,0,12724
17,2018,172,8449,584,506,294,22,9,3,0,0,13,0,1,14866
17,2019,171,7918,562,498,272,28,5,2,0,0,7,0,0,12319
17,2020,170,7738,536,453,242,24,7,1,0,0,5,2,0,12459
17,2021,169,7511,510,414,242,25,1,2,1,0,6,0,0,10983
18,2012,1920,20942,1434,829,339,25,10,6,0,2,16,1,0,14391
18,2013,1886,19595,1346,767,322,26,4,1,0,0,13,0,0,13087
18,2014,1824,18271,1289,765,305,25,5,5,0,0,26,1,0,13466
18,2015,1768,18078,1224,747,315,24,6,3,0,0,20,0,1,13505
18,2016,1725,17396,1207,747,321,22,4,1,0,0,13,1,0,13378
18,2017,1647,16604,1157,674,280,28,4,2,0,0,36,0,2,12212
18,2018,1567,16172,1114,653,269,25,4,0,0,0,28,1,0,11665
18,2019,1509,14752,1033,590,248,18,6,5,0,0,26,0,0,11307
18,2020,1466,13209,966,470,213,21,2,1,0,0,34,0,1,7163
18,2021,1406,13154,933,540,221,21,3,2,0,0,46,0,2,8388
19,2012,13,678,50,13,3,0,0,0,0,0,0,0,0,154
19,2013,12,909,64,24,8,0,0,0,0,0,0,0,0,94
19,2014,12,924,66,30,15,1,0,0,0,0,0,0,0,389
19,2015,10,974,70,18,10,2,0,0,0,0,0,0,0,276
19,2016,9,915,66,25,8,1,0,0,0,0,0,0,0,368
19,2017,9,940,68,29,11,0,0,0,0,0,0,0,0,295
19,2018,8,938,68,18,8,1,0,0,0,0,0,0,0,503
19,2019,8,926,68,31,11,1,0,0,0,0,0,0,0,606
19,2020,8,909,68,19,5,1,0,0,0,0,0,0,0,252
19,2021,8,918,68,36,12,1,0,0,0,0,0,0,0,401
20,2012,650,30900,2579,1235,479,44,12,5,0,3,55,5,1,24189
20,2013,658,28949,2518,1172,439,47,14,6,0,1,65,3,2,22264
20,2014,665,27737,2452,1082,406,46,14,12,2,3,53,0,1,20162
20,2015,655,27517,2404,1012,385,38,6,5,0,0,34,2,1,17920
20,2016,666,30195,2528,992,373,27,12,9,1,2,27,0,0,16598
20,2017,662,29755,2555,972,359,34,7,0,0,0,31,2,0,13368
20,2018,673,30301,2551,981,396,36,5,3,0,0,25,0,3,18246
20,2019,699,30498,2584,917,383,37,6,5,1,0,16,0,0,17444
