Num,Name
1,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten"
2,Forstwirtschaft und Holzeinschlag
3,Fischerei und Aquakultur
8,"Gewinnung von Steinen und Erden, sonstiger Bergbau"
9,Erbringung von Dienstleistungen für den Bergbau
10,Herstellung von Nahrungs- und Futtermitteln
11,Getränkeherstellung
12,Tabakverarbeitung
13,Herstellung von Textilien
14,Herstellung von Bekleidung
15,"Herstellung von Leder, Lederwaren und Schuhen"
16,"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)"
17,"Herstellung von Papier, Pappe und Waren daraus"
18,Herstellung von Druckerzeugnissen; Vervielfältigung
19,Kokerei und Mineralölverarbeitung
20,Herstellung von chemischen Erzeugnissen
21,Herstellung von pharmazeutischen Erzeugnissen
22,Herstellung von Gummi- und Kunststoffwaren
23,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden"
24,Metallerzeugung und -bearbeitung
25,Herstellung von Metallerzeugnissen
26,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen"
27,Herstellung von elektrischen Ausrüstungen
28,Maschinenbau
29,Herstellung von Automobilen und Automobilteilen
30,Sonstiger Fahrzeugbau
31,Herstellung von Möbeln
32,Herstellung von sonstigen Waren
33,Reparatur und Installation von Maschinen und Ausrüstungen
35,Energieversorgung
36,Wasserversorgung
37,Abwasserentsorgung
38,"Sammlung, Behandlung und Beseitigung von Abfällen; Rückgewinnung"
39,Beseitigung von Umweltverschmutzungen und sonstige Entsorgung
41,Hochbau
42,Tiefbau
43,"Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe"
45,Handel mit Motorfahrzeugen; Instandhaltung und Reparatur von Motorfahrzeugen
46,Grosshandel (ohne Handel mit Motorfahrzeugen)
47,Detailhandel (ohne Handel mit Motorfahrzeugen)
49,Landverkehr und Transport in Rohrfernleitungen
50,Schifffahrt
51,Luftfahrt
52,Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr
53,"Post-, Kurier- und Expressdienste"
55,Beherbergung
56,Gastronomie
58,Verlagswesen
59,Herstellung von Filmen und Fernsehprogrammen; Kinos; Verlegen von Musik
60,Rundfunkveranstalter
61,Telekommunikation
62,Erbringung von Dienstleistungen der Informationstechnologie
63,Informationsdienstleistungen
64,Erbringung von Finanzdienstleistungen
65,"Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)"
66,Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten
68,Grundstücks- und Wohnungswesen
69,"Rechts- und Steuerberatung, Wirtschaftsprüfung"
70,Verwaltung und Führung von Unternehmen und Betrieben; Unternehmensberatung
71,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung"
72,Forschung und Entwicklung
73,Werbung und Marktforschung
74,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten"
75,Veterinärwesen
77,Vermietung von beweglichen Sachen
78,Vermittlung und Überlassung von Arbeitskräften
79,"Reisebüros, Reiseveranstalter und Erbringung sonstiger Reservierungsdienstleistungen"
80,Wach- und Sicherheitsdienste sowie Detekteien
81,Gebäudebetreuung; Garten- und Landschaftsbau
82,Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
84,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung"
85,Erziehung und Unterricht
86,Gesundheitswesen
87,Heime (ohne Erholungs- und Ferienheime)
88,Sozialwesen (ohne Heime)
90,"Kreative, künstlerische und unterhaltende Tätigkeiten"
91,"Bibliotheken, Archive, Museen, botanische und zoologische Gärten"
92,"Spiel-, Wett- und Lotteriewesen"
93,"Erbringung von Dienstleistungen des Sports, der Unterhaltung und der Erholung"
94,Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen
95,Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern
96,Erbringung von sonstigen überwiegend persönlichen Dienstleistungen
97,Private Haushalte mit Hauspersonal
98,Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf
99,Exterritoriale Organisationen und Körperschaften
