Taetigkeit,2016,2017,2018,2019,2020
Arbeitsweg,18507,23519,22476,22093,17372
Aufenthalt in Häusern und auf privatem Grund,146081,147241,151088,156967,152960
"?Körperpflege, Kinder-, Krankenpflege",9163,9580,9760,9880,9222
?Umhergehen in Haus und Garten,58991,60890,64954,65897,62567
"?Essen, trinken, sich verpflegen",5281,5302,4902,4800,5381
"?Haushaltarbeiten, kleine Hantierungen",42601,39925,40285,43724,44903
"?Anlässe, Spiele, Neckereien (Haus und Garten)",6300,6800,7420,7560,6541
?Tiere (ohne landw. Tierhaltung),4520,4780,6020,5920,5440
Nebenbeschäftigung,36818,35897,36598,35755,39696
?Gartenarbeiten,9882,9401,10460,9720,12202
"?Landwirtschaft, Wein-, Obstbau, Tierhaltung",3925,3684,3884,4082,4080
?Holzaufbereitung und -transport,2484,2764,2284,2264,2565
?Unterhaltsarbeiten (Bauten),3941,3564,4003,3682,4725
?Unterhalt von Fahrzeugen,2043,1781,1481,2221,2121
"?Botengänge, Besorgungen, Einkaufen",5660,5041,4422,4480,5080
"?Bastelarbeiten, Werken",2100,1860,2380,1642,2680
Sport und Spiel,183757,192173,196802,200245,165099
"?Turnen, Laufen",18340,21405,20820,22302,19662
??Boden- und Geräteturnen,1940,2741,2280,3160,1620
"??Gymnastik, Fitnesstraining, Aerobic",4460,4800,5460,6440,5221
"??Jogging, Laufen",9780,11624,10740,10342,11301
?Bergsport,9182,9084,10462,10506,14611
??Bergwandern (ohne Klettern),6710,6596,7449,7552,11119
"??Berg- und Klettertouren, Gletscher,Fels, Eis",1512,1528,2093,2313,2811
?Wintersport,44583,46218,48493,52366,40835
??Skifahren (alpin),25952,25628,29593,30832,24768
??Skilanglauf,1220,1401,1360,2100,1700
"??Schlitteln, Bobfahren, Skeleton",2600,3280,3360,3602,2521
??Eishockey,5360,5240,4360,4860,3160
"??Eislaufen, Eiskunstlauf",1440,2021,1820,1540,1560
??Snowboard,5623,5682,5622,6620,5240
?Wassersport,11524,13012,14470,13888,11808
"??Baden, Schwimmen",5343,5567,6564,6266,5324
"??Rudern, Bootfahren, Segeln",1181,1521,1542,1580,1241
?Kampfsport,4860,5120,4400,4961,3320
??Boxen,980,1180,1140,1260,1300
??Asiatische Kampfsportarten,2420,2380,2040,2060,1380
?Ballspiele,69609,70011,68382,66906,44403
"??Land-, Roll- und Unihockey",4940,4820,4060,4060,2620
??Fussball,44027,44311,44141,42505,27823
??Tennis,2580,3100,2440,2860,2880
??Badminton (Federball),1960,1640,1800,1520,1220
??Handball,2701,2760,2800,2580,1280
??Volleyball,4820,4660,4860,4300,2960
"??Basket-, Street- und Korbball",3640,3600,3661,3761,2700
"?Kugel, Wurf- und Schlagspiele",1220,1320,1200,1340,1120
?Fahrzeugrennsport und Training,2644,2368,3006,2445,1744
?Andere Sport- und Spielarten,21795,23635,25569,25531,27596
"??Inlineskating, Rollschuhlaufen",1280,1321,1980,1680,1640
"??Reiten, Pferdesport",4942,4161,4902,4400,2880
"??Biken, Mountain-Bike",6740,8162,8520,9122,13026
Aufenthalt im Freien auf öffentlichem Grund,106401,110851,118581,116900,112841
"?Unterwegs, Reisen, Wegunfälle",78114,80487,83498,83729,76354
"?Spazieren, Wandern (exkl. Bergwandern)",18725,20083,23461,21663,24123
?Kleine Hantierungen im Freien (öffentl.),1402,1301,1020,1366,1460
"?Spiele, Neckereien im Freien (öff. Grund)",2400,2820,3020,2900,2480
"Volksfeste, Versammlungen",4600,3941,4122,4041,2180
"Rauferei, Überfall, Streit, kriminelle Handlung",7608,7592,7809,7468,6631
?Opfer einer kriminellen Handlung,5348,5852,5927,5908,5051
Unbekannte oder übrige Tätigkeit,20075,19883,19429,19276,15609
Total,523847,541097,556905,562745,512388
